"simulacao";"alunos";"aluguel";"custo";"pessoal";"despesas";"imposto";"fluxoCaixa";"fluxoAcumulado";"ano"
1401;696277,0328467;174411,125852379;112774,386242455;316274,659344882;38721,5335166828;34827,5263479632;368090,053247096;403178,371006235;3
1401;770679,923068817;175278,22634177;125072,21539989;349748,601148442;42375,6997109035;37838,3259764235;390923,307174928;794101,678181163;4
1402;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1402;609495,392503501;181151,239533563;94029,1195816009;265577,373256046;31128,1926005752;31625,8652814826;368286,08131736;-334653,86868264;1
1402;657064,182942633;183516,452060343;103238,9119494;295058,249087616;34151,1497729734;33623,225400119;374509,098792868;39855,2301102278;2
1402;698068,668111866;190794,935581957;113731,347825889;325589,578445994;37903,0545831803;35554,5441477529;376085,078691007;415940,308801234;3
1402;766079,075214892;189403,72828006;124884,71326639;361660,6484905;41961,5351002451;38219,3121397981;388756,594498019;804696,903299254;4
1403;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1403;600314,291774691;173331,77654725;93824,5603003787;267579,752745786;31396,9357510502;30945,8427328776;349898,976791848;-353040,973208152;1
1403;658847,877885325;167907,611521497;102448,036668448;294798,117504837;34541,5628977385;33070,2195762729;361897,552759527;8856,57955137489;2
1403;713931,358746305;169545,445786527;113805,073503661;325344,908812341;38439,7029041025;35339,0721813133;370548,047131414;379404,626682789;3
1403;770732,796119396;168750,189360007;124039,575018947;358318,111382433;41888,577400883;37579,3194191761;377657,402257964;757062,028940753;4
